product_id,product_name,category,price,stock_quantity,supplier_id
P001,Laptop Pro 15,Electronics,1299.99,50,SUP001
P002,Wireless Mouse,Electronics,29.99,200,SUP001
P003,Office Chair,Furniture,249.99,75,SUP002
P004,Standing Desk,Furniture,599.99,30,SUP002
P005,USB-C Hub,Electronics,49.99,150,SUP001
P006,Monitor 27",Electronics,399.99,60,SUP003
P007,Keyboard Mechanical,Electronics,89.99,100,SUP001
P008,Desk Lamp,Furniture,34.99,120,SUP004
P009,Webcam HD,Electronics,79.99,80,SUP003
P010,Notebook Set,Office Supplies,12.99,500,SUP004
